Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
MINH CHÂU,,,,,SINH TỐ BƠ (LY),1,30000.0,30000.0,668000.0,,
MINH CHÂU,,,,,CÀ PHÊ (LY) k đg,1,20000.0,20000.0,668000.0,,
MINH CHÂU,,,,,TRÀ GẠO RANG FULL-M (LY),3,25000.0,75000.0,668000.0,,
MINH CHÂU,,,,,MATCHA COLD WHISK MK4-M (LY),1,38000.0,38000.0,668000.0,,
MINH CHÂU,,,,,TRÀ VẢI-M (LY),2,25000.0,50000.0,668000.0,,
MINH CHÂU,,,,,YAOURT VIỆT QUẤT-M (LY),2,28000.0,56000.0,668000.0,,
MINH CHÂU,,,,,YAOURT-M (LY),4,28000.0,112000.0,668000.0,,
MINH CHÂU,,,,,TRÀ GẠO RANG-M (LY),1,18000.0,18000.0,668000.0,,
MINH CHÂU,,,,,CÀ PHÊ HẠNH NHÂN ĐÁ XAY (KHÔNG KEM)-M (LY),1,35000.0,35000.0,668000.0,,
MINH CHÂU,,,,,HỒNG TRÀ-M (LY),1,15000.0,15000.0,668000.0,,
MINH CHÂU,,,,,MATCHA LATTE MK4-S (LY),3,35000.0,105000.0,668000.0,,
MINH CHÂU,,,,,MATCHA MK4 - TÀU HŨ (LY),3,38000.0,114000.0,668000.0,,
