Người bán,Địa chỉ,Mã số thuế,Số hóa đơn,Thời gian,Tên sản phẩm,Số lượng,Đơn giá,Thành tiền,Tổng cộng,Tiền khách đưa,Tiền thối
None,,,,,SINH TỐ BƠ (LY),1,30000.0,30000.0,668000.0,,
None,,,,,CÀ PHÊ (LY) k dg,1,20000.0,20000.0,668000.0,,
None,,,,,TRÀ GẠO RANG FULL-M (LY),3,25000.0,75000.0,668000.0,,
None,,,,,MATCHA COLD WHISK MK4-M (LY),1,38000.0,38000.0,668000.0,,
None,,,,,TRÀ VẢI-M (LY),2,25000.0,50000.0,668000.0,,
None,,,,,YAOURT VIỆT QUẤT-M (LY),2,28000.0,56000.0,668000.0,,
None,,,,,YAOURT-M (LY),4,28000.0,112000.0,668000.0,,
None,,,,,TRÀ GẠO RANG-M (LY),1,18000.0,18000.0,668000.0,,
None,,,,,CÀ PHÊ HẠNH NHÂN ĐÁ XAY (KHÔNG KEM)-M (LY),1,35000.0,35000.0,668000.0,,
None,,,,,HỒNG TRÀ-M (LY),1,15000.0,15000.0,668000.0,,
None,,,,,MATCHA LATTE MK4-S (LY),3,35000.0,105000.0,668000.0,,
None,,,,,MATCHA MK4 - TÀU HŨ (LY),3,38000.0,114000.0,668000.0,,
